Source     RA            DEC           Sp.type   Mv      SiC        PAH1_1     PAH1       ARIII      SIV_1      SIV        PAH2_1     SIV_2      PAH2       PAH2_2     NEII_1     NEII       NEII_2     Q0         QH2        Q1         Q2         Q3         Q4         Q7         Q8         Error
HD89682    10 19 36.755 -55 01 45.60   K3II      6.213  11.433428  20.448076  18.996012  17.831394  15.607631  14.489589  13.699211  12.834480  12.477167  10.787905  10.160759   9.702991   9.369202   5.838787   5.466324   5.128081   4.579451   4.205718   3.851570   3.025430   2.686066   .1809E+01
HD93813    10 49 37.494 -16 11 37.26   K1.5IIIb   4.36  25.365217  46.867195  43.640640  40.267830  34.183952  31.583439  30.210533  28.579586  27.754110  23.917269  22.541367  21.522156  20.774302  12.846258  12.037741  11.372758  10.333696   9.533647   8.647593   6.798127   6.034228   .1537E+01
HD95272    10 59 46.470 -18 17 55.65   K0+III     5.17   6.953185  13.724231  12.719376  11.642562   9.439977   8.709484   8.320709   7.829986   7.590036   6.551811   6.124626   5.925374   5.739554   3.566433   3.338207   3.130978   2.795038   2.565935   2.349430   1.844452   1.637098   .1798E+01
HD95314    11 00 11.715 -14 05 00.13   K5III     7.387   3.985252   6.896831   6.528769   6.116825   5.225411   4.912689   4.727114   4.488057   4.358106   3.756660   3.542227   3.383046   3.263190   2.012121   1.880562   1.765509   1.584070   1.467713   1.355283   1.068266   0.946640   .1833E+01
HD98118    11 17 17.403 +02 00 37.95   M0III     6.719   9.647749  16.175514  15.400157  14.390513  12.710786  11.899303  11.436178  10.783750  10.498274   9.119710   8.585364   8.198276   7.916247   4.941376   4.626289   4.340649   3.877323   3.561167   3.262132   2.563260   2.276241   .1649E+01
HD99167    11 24 36.644 -10 51 34.00   K5III     6.398  13.739602  23.774794  22.507380  21.085714  18.014658  16.938623  16.297859  15.472239  15.024477  12.952159  12.211736  11.663129  11.249277   6.936598   6.482410   6.086818   5.461614   5.060757   4.672925   3.682880   3.264531   .1597E+01
HD99998    11 30 18.900 -03 00 12.57   K3.5III   4.771  10.502131  18.782606  17.449276  16.379539  14.335582  13.311559  12.584264  11.789803  11.460445   9.909359   9.332810   8.912784   8.605881   5.363046   5.020965   4.710335   4.206284   3.863124   3.537606   2.778987   2.467454   .1830E+01
HD108381   12 26 56.271 +28 16 06.34   K1III     5.486   5.589896  10.328042   9.617192   8.873164   7.533526   6.959792   6.657361   6.297437   6.116047   5.271203   4.967644   4.743050   4.577950   2.831098   2.653125   2.506438   2.277460   2.101314   1.905630   1.498217   1.329784   .1722E+01
HD110458   12 42 35.465 -48 48 47.12   K0III     5.760   3.860430   7.620767   7.061889   6.464736   5.241381   4.836587   4.620578   4.348545   4.214486   3.637228   3.399604   3.289787   3.186758   1.980249   1.853297   1.738340   1.551734   1.424705   1.304339   1.024011   0.908959   .1571E+01
HD111067   12 46 38.757 +16 34 38.98   K3III     6.489   4.813394   8.608947   7.997637   7.507877   6.571008   6.100558   5.767421   5.404119   5.252671   4.541633   4.277744   4.084620   3.944468   2.458078   2.301185   2.158770   1.927812   1.770672   1.621627   1.273610   1.130804   .1726E+01
HD111915   12 53 06.913 -48 56 36.26   K3.5III   5.723  10.068778  18.007620  16.729660  15.703686  13.745296  12.760938  12.064239  11.301780  10.987347   9.500572   8.947989   8.543949   8.251629   5.141909   4.813991   4.516176   4.032888   3.703723   3.391731   2.664398   2.365537   .1847E+01
HD114326   13 09 47.837 +16 50 55.04   K5III     7.405   3.641165   6.301440   5.964829   5.587870   4.773826   4.489149   4.319271   4.100846   3.981801   3.432334   3.236476   3.090995   2.981372   1.838083   1.718010   1.613179   1.447191   1.340998   1.238230   0.976061   0.865013   .1763E+01
